chartName,category,img,avail,description_en,description_it
bar-diverging,Deviazione,bar-diverging.svg,TRUE,A simple standard bar chart that can handle both negative and positive magnitude values,Un grafico a barre standard semplice in grado di dare risalto al contrasto tra valori negativi e positivi
bar-diverging-stacked,Deviazione,bar-diverging-stacked.svg,TRUE,"Perfect for presenting survey results which involve sentiment (eg disagree, neutral, agreed","Perfetto per la presentazione risultati del sondaggio che coinvolgono il sentimento (ad esempio non essere d'accordo, neutrale, concordato"
spine-chart,Deviazione,spine.svg,TRUE,Splits a single value into 2 contrasting components (eg Male/Female),Divide un singolo valore in 2 componenti contrastanti (per esempio maschio / femmina)
line-surplus-deficit-filled,Deviazione,line-surplur-defecit-fill.svg,FALSE,The shaded area of these charts allows a balance to be shown either against a baseline or between two serie,L'area ombreggiata di questi grafici permette un equilibrio di essere visualizzato sia contro una base o tra due serie
scatterplot,Correlazione,scatterplot.svg,TRUE,"The standard way to show the relationship between two variables, each of which has its own axis","Il metodo standard per mostrare la relazione tra due variabili, ciascuno dei quali ha il proprio asse"
line-column,Correlazione,line-column.svg,TRUE,A good way of showing the relationship between an amount (columns) and a rate (line),Un buon modo di mostrare la relazione tra una quantità (colonne) e un'aliquota (line)
scatterplot-connected,Correlazione,scatterplot-connected.svg,TRUE,Usually used to show how the relationship between 2 variables has changed over time,Di solito utilizzato per mostrare come il rapporto tra 2 variabili è cambiato nel tempo
Bubble,Correlazione,bubble.svg,TRUE,"Like a scatterplot, but adds additional detail by sizing the circles according to a third variable","Come un grafico a dispersione, ma aggiunge ulteriori dettagli dimensionando i cerchi secondo una terza variabile"
XY-heatmap,Correlazione,XY-heatmap.svg,TRUE,"A good way of showing the patterns between 2 categories of data, less good at showing fine differences in amounts","Un buon modo di mostrare i modelli tra le 2 categorie di dati, meno bravi a mostrare le differenze sottili in quantità"
line,Variazione,line.svg,TRUE,"The standard way to show a changing time series. If data are irregular, consider markers to represent data points","Il metodo standard per mostrare una serie temporale che cambia. Se i dati sono irregolari, prendere in considerazione gli indicatori per rappresentare i punti di dati"
column-timeline,Variazione,column-timeline.svg,TRUE,Columns work well for showing change over time - but usually best with only one series of data at a time,Colonne funzionano bene per mostrare il cambiamento nel corso del tempo - ma di solito meglio con una sola serie di dati alla volta
column-line-timeline,Variazione,column-line-timeline.svg,TRUE,A good way of showing the relationship over time between an amount (columns) and a rate (line),Un buon modo di mostrare la relazione nel tempo tra un importo (colonne) e un'aliquota (line)
stock-price,Variazione,stock-price.svg,FALSE,"Usually focused on day-to-day activity, these charts show opening/closing and hi/low points of each day","Di solito incentrata sull'attività giorno per giorno, questi grafici mostrano apertura / chiusura e hi / punti bassi di ogni giorno"
slope,Variazione,slope-timeline.svg,TRUE,Good for showing changing data as long as the data can be simplified into 2 or 3 points without missing a key part of story,Buona per mostrare i dati che cambiano fino a quando i dati possono essere semplificate in 2 o 3 punti senza perdere una parte fondamentale della storia
area,Variazione,area.svg,TRUE,"Use with care. These are good at showing changes to total, but seeing change in components can be very difficult.","Usare con cura. Questi sono buoni a mostrare modifiche al totale, ma vedendo il cambiamento nei componenti può essere molto difficile."
fan,Variazione,fan.svg,FALSE,Use to show the uncertainty in future projections - usually this grows the further forward to projection,Utilizzare per mostrare l'incertezza nelle proiezioni future - di solito questo si sviluppa il più avanti alla proiezione
scatterplot-line-timeline,Variazione,scatterplot-line-timeline.svg,FALSE,A good way of showing changing data for two variables whenever there is a relatively clear pattern of progression. Connected scatterplot,Un buon modo di mostrare i dati mutevoli per due variabili ogni volta che c'è un relativamente chiaro modello di progressione. dispersione Connected
calendar-heatmap,Variazione,calendar-heatmap.svg,TRUE,"A great way of showing temporal patterns (daily, weekly, monthly), at the expense of showing precision in quantity","Un ottimo modo di mostrare schemi temporali (giornaliera, settimanale, mensile), a scapito di che mostra la precisione in quantità"
priestley timeline,Variazione,priestley-timeline.svg,TRUE,Great when date and duration are key elements of the story in the data,Grande data e la durata in cui sono gli elementi chiave della storia nei dati
circles-timeline,Variazione,circle-timeline.svg,TRUE,Good for showing discrete values of varying size across multiple categories (eg earthquakes by contintent),"Per mostrare i valori discreti di varie dimensioni in più categorie (ad esempio, i terremoti di contintent)"
seismogram,Variazione,seismogram.svg,FALSE,Another alternative to the circle timeline for showing series where there are big variations in the data,Un'altra alternativa al cerchio temporale per mostrare serie in cui vi sono grandi variazioni nei dati
bar-ordered,Classificazione,bar-ordered.svg,TRUE,Standard bar charts display the ranks of values much more easily when sorted into order,grafici a barre standard visualizzano le fila di valori molto più facilmente quando ordinati in ordine
column-ordered,Classificazione,column-ordered.svg,TRUE,Standard column charts display the ranks of values much more easily when sorted into order,istogrammi standard visualizzano le fila di valori molto più facilmente quando ordinati in ordine
symbol-proportional-ordered,Classificazione,symbol-proportional-ordered.svg,FALSE,Use when there are big variations between values and/or seeing fine differences between data is not so important.,Utilizzare quando ci sono grandi differenze tra i valori e / o di vedere le differenze sottili tra i dati non è così importante.
dot-plot-strip,Classificazione,dot-plot-strip.svg,FALSE,Dots placed in order on a strip are a space-efficient method of laying out ranks across multiple categories.,Puntini disposte nell'ordine su una striscia sono un metodo efficiente dello spazio per la posa di ranghi in più categorie.
slope,Classificazione,slope-ranking.svg,TRUE,Perfect for showing how ranks have changed over time or vary between categories.,Perfetto per mostrare come ranghi sono cambiati nel corso del tempo o variare tra le categorie.
lollipop-h,Classificazione,lollipop-h.svg,TRUE,Lollipop charts draw more attention to the data value than standard bar/column and can also show rank effectively,grafici Lollipop attirano più attenzione al valore dei dati di bar / colonna standard e possono anche mostrare rango in modo efficace
lollipop-v,Classificazione,lollipop-v.svg,TRUE,Lollipop charts draw more attention to the data value than standard bar/column and can also show rank effectively,grafici Lollipop attirano più attenzione al valore dei dati di bar / colonna standard e possono anche mostrare rango in modo efficace
bump,Classificazione,bump.svg,TRUE,,
histogram,Distribuzione,histogram.svg,TRUE,The standard way to show a statistical distribution - keep the gaps between columns small to highlight the 'shape' of the data.,Il metodo standard per mostrare una distribuzione statistica - mantenere i vuoti tra le colonne piccole per evidenziare la 'forma' dei dati.
boxplot,Distribuzione,boxplot.svg,TRUE,Summarise multiple distributions by showing the median (centre) and range of the data,Riassumendo distribuzioni multiple mostrando la mediana (centro) e intervallo dei dati
violin,Distribuzione,violin.svg,FALSE,Similar to a box plot but more effective with complex distributions (data that cannot be summarised with simple average).,"Simile ad un diagramma a riquadri, ma più efficace con distribuzioni complesse (dati che non si possono riassumere con una semplice media)."
population-pyramis,Distribuzione,population-pyramis.svg,TRUE,"A standard way for showing the age and sex breakdown of a population distribution; effectively, back to back histograms","Un modo standard per mostrare la ripartizione età e il sesso di una distribuzione della popolazione; in modo efficace, back to back istogrammi"
dot-plot-strip,Distribuzione,dot-plot-strip-distribution.svg,FALSE,"Good for showing individual values in a distribution, can be a problem when too many dots have the same value","Buona per mostrare i valori individuali in una distribuzione, può essere un problema quando troppi punti hanno lo stesso valore"
dot-plot,Distribuzione,dot-plot.svg,TRUE,A simple way of showing the range (min/max) of data across multiple categories.,Un modo semplice di mostrare la gamma (min / max) di dati su più categorie.
barcode,Distribuzione,barcode.svg,FALSE,"Like dot strip plots, good for displaying all the data in a table,they work best when highlighting individual values.","Come trame striscia di punti, buoni per la visualizzazione di tutti i dati in una tabella, funzionano meglio quando evidenziando valori singoli."
cumulative-curve,Distribuzione,cumulative-curve.svg,FALSE,"A good way of showing how unequal a distribution is: y axis is always cumulative frequency, x axis is always a measure.","Un buon modo di mostrare come disuguale distribuzione è: asse y è sempre frequenza cumulativa, asse x è sempre una misura."
column-stacked,Partizione,column-stacked.svg,TRUE,A simple way of showing part-to-whole relationships but can be difficult to read with more than a few components.,"Un modo semplice di mostrare i rapporti part-to-tutto, ma può essere difficile da leggere con più di pochi componenti."
bar-stacked-proportional,Partizione,bar-stacked-proportional.svg,TRUE,"A good way of showing the size and proportion of data at the same time, as long as the data are not too complicated.","Un buon modo di mostrare le dimensioni e la percentuale di dati allo stesso tempo, fino a quando i dati non sono troppo complicate."
pie,Partizione,pie.svg,TRUE,A common way of showing part-to-whole data - but be aware that it's difficult to accurately compare the size of the segments.,Un modo comune di mostrare dati pezzo-intero - ma essere consapevoli che è difficile confrontare con precisione le dimensioni dei segmenti.
doughnut,Partizione,doughnut.svg,TRUE,Similar to a pie chart - but the centre can be a good way of making space to include more information about the data (eg. total),Simile a un grafico a torta - ma il centro può essere un buon modo di fare spazio per includere ulteriori informazioni sui dati (es. Totale)
treemap,Partizione,treemap.svg,TRUE,Use for hierarchical part-to-whole relationships can be difficult to read when there are many small segments,Utilizzare per i rapporti gerarchici parte-a-tutta possono essere difficili da leggere quando ci sono tanti piccoli segmenti
Voronoi,Partizione,voronoi.svg,FALSE,A way of turning points into areas - any point within the area is closer to the central point than any other point,Un modo di punti di svolta in aree - qualsiasi punto all'interno dell'area è più vicino al punto centrale di ogni altro punto
sunburst,Partizione,sunburst.svg,FALSE,Another way of visualisaing hierarchical part-to-whole relationships. Use sparingly (if at all) for obvious reasons.,Un altro modo di visualisaing relazioni gerarchiche parte-a-tutto. Utilizzare con parsimonia (se non del tutto) per ovvie ragioni.
arc,Partizione,arc.svg,FALSE,"A hemicycle, often used for visualising political results.","Un emiciclo, spesso utilizzato per la visualizzazione dei risultati politici."
gridplot,Partizione,gridplot.svg,FALSE,"Good for showing % information, they work best when used on whole numbers and work well in multiple layout form.","Buona per mostrare informazioni%, funzionano meglio quando utilizzato su numeri interi e lavorare bene in forma di layout multiple."
Venn,Partizione,venn.svg,FALSE,Generally only used for schematic representation,Generalmente utilizzato solo per rappresentazione schematica
Waterfall,Partizione,waterfall.svg,TRUE,Can be useful for showing part-to-whole relationships where some of the components are negative.,Può essere utile per mostrare i rapporti part-to-tutto in cui alcuni componenti sono negativi.
Column,Magnitudine,column-magnitude.svg,TRUE,The standard way to compare the size of things. Must always start at 0 on the axis,Il metodo standard per confrontare la dimensione delle cose. Deve sempre iniziare a 0 sull'asse
Bar,Magnitudine,bar-magnitude.svg,TRUE,The standard way to compare the size of things. Must always start at 0 on the axis. Good when the data are not time series and labels have long category names,Il metodo standard per confrontare la dimensione delle cose. Deve sempre iniziare a 0 sull'asse. Bene quando i dati non sono serie storiche e le etichette hanno nomi delle categorie lunghi
column-grouped,Magnitudine,column-grouped.svg,TRUE,As per standard column but allows for multiple series. Can become tricky to read with more than 2 series,"Come per colonna standard, ma consente più serie. Può diventare difficile da leggere con più di 2 serie"
bar-grouped,Magnitudine,bar-grouped-magnitude.svg,TRUE,As per standard bar but allows for multiple series. Can become tricky to read with more than 2 series,"Come da bar standard, ma consente più serie. Può diventare difficile da leggere con più di 2 serie"
bar-stacked-proportional,Magnitudine,bar-stacked-proportional-magnitude.svg,TRUE,A good way of showing the size and proportion of data at the same time - as long as the data are not too complicated,Un buon modo di mostrare la dimensione e la percentuale di dati allo stesso tempo - fino a quando i dati non sono troppo complicate
symbol-proportional,Magnitudine,symbol-proportional.svg,FALSE,Use when there are big variations between values and/or seeing fne differences between data is not so important,Usano quando ci sono grandi variazioni tra i valori e / o di vedere differenze tra i dati FNE non è così importante
isotope (pictogram),Magnitudine,isotope.svg,FALSE,Excellent solution in some instances - use only with whole numbers (do not slice off an arm to represent a decimal).,Ottima soluzione in alcuni casi - utilizzare solo con i numeri interi (non tagliare fuori un braccio per rappresentare un decimale).
lollipop-h,Magnitudine,lollipop-h-magnitude.svg,TRUE,Lollipop charts draw more attention to the data value than standard bar/column and can also show rank effectively,grafici Lollipop attirano più attenzione al valore dei dati di bar / colonna standard e possono anche mostrare rango in modo efficace
lollipop-v,Magnitudine,lollipop-v-magnitude.svg,TRUE,Lollipop charts draw more attention to the data value than standard bar/column and can also show rank effectively,grafici Lollipop attirano più attenzione al valore dei dati di bar / colonna standard e possono anche mostrare rango in modo efficace
Radar,Magnitudine,radar.svg,FALSE,A space-efficient way of showing value pf multiple variables - but make sure they are organised in a way that makes sense to reader.,Un modo efficiente dello spazio di mostrare il valore pf più variabili - ma assicurarsi che essi sono organizzati in un modo che abbia senso per il lettore.
Bullet,Magnitudine,bullet.svg,TRUE,,
Parallel coordinates,Magnitudine,parallel coordinates.svg,FALSE,"An alternative to radar charts - again, the arrngement of the variables is important. Usually benefits from highlighting values","Un'alternativa ai grafici radar - ancora una volta, l'arrngement delle variabili è importante. Di solito beneficia di evidenziare i valori"
basic-choropleth,Spaziale,basic-choropleth.svg,FALSE,The standard approach for putting data on a map - should always be rates rather than totals and use a sensible base geography.,L'approccio standard per mettere i dati su una mappa - deve essere sempre i tassi piuttosto che i totali e utilizzare una geografia di base ragionevole.
proportional-symbol,Spaziale,proportional-symbol.svg,FALSE,Use for totals rather than rates - be wary that small differences in data will be hard to see.,"Utilizzare per i totali, piuttosto che i tassi - diffidare che le piccole differenze nei dati saranno difficili da vedere."
flow,Spaziale,flow.svg,FALSE,For showing unambiguous movement across a map,Per mostrare il movimento univoca attraverso una mappa
contour,Spaziale,contour.svg,FALSE,For showing areas of equal value on a map. Can use deviation colour schemes for showing +/- values,Per indichi le zone di uguale valore su una mappa. Può usare combinazioni di colori deviazione per mostrare +/- valori
equalised-cartogram,Spaziale,equalised-cartogram.svg,FALSE,Converting each unit on a map to a regular and equally-sized shape - good for representing voting regions with equal share.,Convertendo ogni unità su una mappa di forma regolare e di uguali dimensioni - buono per rappresentare regioni votano con parti uguali.
scaled-cartogram-value,Spaziale,scaled-cartogram-value.svg,FALSE,Stretching and shrinking a map so that each area is sized according to a particular value.,Allungamento e restringimento una mappa in modo che ogni area è dimensionata secondo un valore particolare.
dot-density,Spaziale,dot-density.svg,FALSE,Used to show the location of individual events/locations - make sure to annotate any patterns the reader should see.,Utilizzato per mostrare la posizione dei singoli eventi / luoghi - assicuratevi di annotare eventuali modelli il lettore dovrebbe vedere.
heat-map,Spaziale,heat-map.svg,FALSE,Grid-based data values mapped with an intensity colour scale. As choropleth map - but not snapped to an admin/political unit.,valori di dati griglia a base mappati con una scala di intensità di colore. Come mappa choropleth - ma non spezzato ad un'unità admin / politica.
sankey,Flusso,sankey.svg,TRUE,Shows changes in flows from one condition to at least one other good for tracing the eventual outcome of a complex process.,Mostra variazioni nei flussi da una condizione ad almeno un altro bene per rintracciare il risultato finale di un processo complesso.
waterfall,Flusso,waterfall-flow.svg,TRUE,"Designed to show the sequencing of data through a flow process, typically budgets. Can include +/- components","Progettato per mostrare la sequenza di dati attraverso un processo di flusso, tipicamente bilanci. Può includere componenti +/-"
chord,Flusso,chord.svg,FALSE,A complex but powerful diagram which can illustrate 2-way flows (and net winner) in a matrix,Un diagramma complessa ma potente che può illustrare 2 vie flussi (e vincitore netto) in una matrice
network,Flusso,network.svg,FALSE,Used for showing the complexity and inter-connectdness of relationships of varying types.,Utilizzato per mostrare la complessità e inter-connectdness dei rapporti di vario tipo.
